Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,bray-p 1,0.0072,mgP/L,0.007152,Wed Jun 07 14:10:15 2023,1,1
STANDARD 90,,bray-p 1,0.0129,mgP/L,0.01289,Wed Jun 07 14:11:32 2023,1,1
STANDARD 91,,bray-p 1,0.0216,mgP/L,0.021636,Wed Jun 07 14:12:49 2023,1,1
STANDARD 92,,bray-p 1,0.0357,mgP/L,0.03567,Wed Jun 07 14:14:06 2023,1,1
STANDARD 93,,bray-p 1,0.0801,mgP/L,0.080073,Wed Jun 07 14:15:23 2023,1,1
STANDARD 94,,bray-p 1,0.1533,mgP/L,0.153297,Wed Jun 07 14:16:41 2023,1,1
STANDARD 95,,bray-p 1,0.222,mgP/L,0.221966,Wed Jun 07 14:17:58 2023,1,1
STANDARD 96,,bray-p 1,0.2908,mgP/L,0.290831,Wed Jun 07 14:19:15 2023,1,1
STANDARD 0,,bray-p 1,0.007,mgP/L,0.006967,Wed Jun 07 14:20:33 2023,1,1
C C V,,bray-p 1,0.5817,mgP/L,0.031117,Wed Jun 07 14:21:50 2023,1,1
C C B ,,bray-p 1,-0.0095,mgP/L,0.035177,Wed Jun 07 14:23:07 2023,1,1
60 2b,,bray-p 1,0.1696,mgP/L,0.056171,Wed Jun 07 14:24:25 2023,1,1
37 2a,,bray-p 1,0.0858,mgP/L,0.0323,Wed Jun 07 14:25:43 2023,1,1
40 1a,,bray-p 1,0.19,mgP/L,0.061991,Wed Jun 07 14:27:01 2023,1,1
58 1b,,bray-p 1,0.2303,mgP/L,0.073462,Wed Jun 07 14:28:18 2023,1,1
39 1b,,bray-p 1,0.1681,mgP/L,0.055728,Wed Jun 07 14:29:36 2023,1,1
5 1a,,bray-p 1,0.1097,mgP/L,0.039101,Wed Jun 07 14:30:54 2023,1,1
57 2b,,bray-p 1,0.1534,mgP/L,0.051537,Wed Jun 07 14:32:12 2023,1,1
