Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Ammonia 2.0, 1.0471,mg N/L,0.557875,Tue Jun 13 14:59:45 2023,1,1
C C V,,Nitrate 2, 0.8936,mg N/L,0.247627,Tue Jun 13 16:01:31 2023,1,1
C C B ,,Ammonia 2.0, 0.0414,mg N/L,0.082696,Tue Jun 13 15:01:43 2023,1,1
C C B ,,Nitrate 2,-0.0440,mg N/L,0.002052,Tue Jun 13 16:03:32 2023,1,1
45 2a,,Ammonia 2.0, 1.5320,mg N/L,0.786975,Tue Jun 13 15:03:41 2023,1,1
45 2a,,Nitrate 2, 0.0022,mg N/L,0.014155,Tue Jun 13 16:05:34 2023,1,1
60 2b,,Ammonia 2.0, 0.8859,mg N/L,0.481689,Tue Jun 13 15:05:39 2023,1,1
60 2b,,Nitrate 2, 0.0062,mg N/L,0.015223,Tue Jun 13 16:07:38 2023,1,1
57 1b,,Ammonia 2.0, 0.6462,mg N/L,0.368456,Tue Jun 13 15:07:38 2023,1,1
57 1b,,Nitrate 2, 0.0377,mg N/L,0.023468,Tue Jun 13 16:09:42 2023,1,1
61 1a,,Ammonia 2.0, 0.4108,mg N/L,0.257209,Tue Jun 13 15:09:38 2023,1,1
61 1a,,Nitrate 2, 0.0425,mg N/L,0.024720,Tue Jun 13 16:11:44 2023,1,1
10 2b,,Ammonia 2.0, 0.5543,mg N/L,0.325032,Tue Jun 13 15:11:38 2023,1,1
10 2b,,Nitrate 2,-0.0004,mg N/L,0.013491,Tue Jun 13 16:13:45 2023,1,1
10 2a,,Ammonia 2.0, 0.4926,mg N/L,0.295884,Tue Jun 13 15:13:36 2023,1,1
10 2a,,Nitrate 2, 0.0039,mg N/L,0.014610,Tue Jun 13 16:15:47 2023,1,1
39 1a,,Ammonia 2.0, 0.9813,mg N/L,0.526800,Tue Jun 13 15:15:35 2023,1,1
39 1a,,Nitrate 2, 0.0009,mg N/L,0.013823,Tue Jun 13 16:17:49 2023,1,1
37 2b,,Ammonia 2.0, 0.5185,mg N/L,0.308093,Tue Jun 13 15:17:33 2023,1,1
37 2b,,Nitrate 2, 0.0091,mg N/L,0.015977,Tue Jun 13 16:19:51 2023,1,1
55 1a,,Ammonia 2.0, 0.7252,mg N/L,0.405801,Tue Jun 13 15:19:32 2023,1,1
55 1a,,Nitrate 2, 0.0143,mg N/L,0.017331,Tue Jun 13 16:21:53 2023,1,1
58 1a,,Ammonia 2.0, 0.4034,mg N/L,0.253715,Tue Jun 13 15:21:30 2023,1,1
58 1a,,Nitrate 2, 0.0020,mg N/L,0.014103,Tue Jun 13 16:23:55 2023,1,1
C C V,,Ammonia 2.0, 1.0331,mg N/L,0.551280,Tue Jun 13 15:23:29 2023,1,1
C C V,,Nitrate 2, 0.9323,mg N/L,0.257771,Tue Jun 13 16:25:57 2023,1,1
C C B ,,Ammonia 2.0, 0.0644,mg N/L,0.093531,Tue Jun 13 15:25:28 2023,1,1
C C B ,,Nitrate 2,-0.0414,mg N/L,0.002733,Tue Jun 13 16:27:59 2023,1,1
49 1a,,Ammonia 2.0, 0.4049,mg N/L,0.254455,Tue Jun 13 15:27:28 2023,1,1
49 1a,,Nitrate 2,-0.0015,mg N/L,0.013195,Tue Jun 13 16:30:01 2023,1,1
55 2a,,Ammonia 2.0, 0.5482,mg N/L,0.322131,Tue Jun 13 15:29:26 2023,1,1
55 2a,,Nitrate 2, 0.0236,mg N/L,0.019768,Tue Jun 13 16:32:06 2023,1,1
57 1a,,Ammonia 2.0, 0.7090,mg N/L,0.398141,Tue Jun 13 15:31:25 2023,1,1
57 1a,,Nitrate 2, 0.0010,mg N/L,0.013841,Tue Jun 13 16:34:09 2023,1,1
34 1b,,Ammonia 2.0, 0.3072,mg N/L,0.208275,Tue Jun 13 15:33:25 2023,1,1
34 1b,,Nitrate 2,-0.0147,mg N/L,0.009737,Tue Jun 13 16:35:04 2023,1,1
45 1a,,Ammonia 2.0, 1.8509,mg N/L,0.937695,Tue Jun 13 15:35:25 2023,1,1
45 1a,,Nitrate 2, 0.0097,mg N/L,0.016118,Tue Jun 13 16:35:58 2023,1,1
