Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0, 0.0775,mg N/L,0.077541,Thu Jun 15 11:24:20 2023,1,1
STANDARD 1,,Nitrate 2, 0.0179,mg N/L,0.017913,Thu Jun 15 14:22:17 2023,1,1
STANDARD 90,,Ammonia 2.0, 0.1013,mg N/L,0.101275,Thu Jun 15 11:26:20 2023,1,1
STANDARD 90,,Nitrate 2, 0.0293,mg N/L,0.029308,Thu Jun 15 14:24:19 2023,1,1
STANDARD 91,,Ammonia 2.0, 0.1326,mg N/L,0.132613,Thu Jun 15 11:28:20 2023,1,1
STANDARD 91,,Nitrate 2, 0.0469,mg N/L,0.046918,Thu Jun 15 14:26:21 2023,1,1
STANDARD 92,,Ammonia 2.0, 0.1819,mg N/L,0.181880,Thu Jun 15 11:30:18 2023,1,1
STANDARD 92,,Nitrate 2, 0.0749,mg N/L,0.074876,Thu Jun 15 14:28:22 2023,1,1
STANDARD 93,,Ammonia 2.0, 0.3315,mg N/L,0.331528,Thu Jun 15 11:32:16 2023,1,1
STANDARD 93,,Nitrate 2, 0.1565,mg N/L,0.156527,Thu Jun 15 14:30:24 2023,1,1
STANDARD 94,,Ammonia 2.0, 0.5815,mg N/L,0.581481,Thu Jun 15 11:34:13 2023,1,1
STANDARD 94,,Nitrate 2, 0.2892,mg N/L,0.289181,Thu Jun 15 14:32:26 2023,1,1
STANDARD 95,,Ammonia 2.0, 1.0232,mg N/L,1.023248,Thu Jun 15 11:36:11 2023,1,1
STANDARD 95,,Nitrate 2, 0.5110,mg N/L,0.510966,Thu Jun 15 14:34:28 2023,1,1
STANDARD 0,,Ammonia 2.0, 0.0772,mg N/L,0.077190,Thu Jun 15 11:38:09 2023,1,1
STANDARD 0,,Nitrate 2, 0.0177,mg N/L,0.017707,Thu Jun 15 14:36:30 2023,1,1
C C V,,Ammonia 2.0, 1.0389,mg N/L,0.579550,Thu Jun 15 11:40:07 2023,1,1
C C V,,Nitrate 2, 1.0115,mg N/L,0.275668,Thu Jun 15 14:38:32 2023,1,1
C C B ,,Ammonia 2.0,-0.0213,mg N/L,0.077045,Thu Jun 15 11:42:05 2023,1,1
C C B ,,Nitrate 2,-0.0301,mg N/L,0.017244,Thu Jun 15 14:40:34 2023,1,1
28 2b,,Ammonia 2.0, 0.3563,mg N/L,0.256003,Thu Jun 15 11:44:04 2023,1,1
28 2b,,Nitrate 2, 0.0143,mg N/L,0.028252,Thu Jun 15 14:42:36 2023,1,1
28 2b,,Ammonia 2.0, 0.3415,mg N/L,0.249020,Thu Jun 15 11:46:02 2023,1,1
28 2b,,Nitrate 2, 0.0199,mg N/L,0.029661,Thu Jun 15 14:44:40 2023,1,1
9 2a,,Ammonia 2.0, 0.7270,mg N/L,0.431720,Thu Jun 15 11:48:00 2023,1,1
9 2a,,Nitrate 2, 0.0233,mg N/L,0.030491,Thu Jun 15 14:46:44 2023,1,1
 9 1a,,Ammonia 2.0, 0.8580,mg N/L,0.493807,Thu Jun 15 11:50:01 2023,1,1
 9 1a,,Nitrate 2, 0.0142,mg N/L,0.028234,Thu Jun 15 14:48:46 2023,1,1
12 2a,,Ammonia 2.0, 1.2031,mg N/L,0.657386,Thu Jun 15 11:52:01 2023,1,1
12 2a,,Nitrate 2, 0.0302,mg N/L,0.032209,Thu Jun 15 14:50:48 2023,1,1
56 2a,,Ammonia 2.0, 0.7441,mg N/L,0.439825,Thu Jun 15 11:53:59 2023,1,1
56 2a,,Nitrate 2, 0.0259,mg N/L,0.031145,Thu Jun 15 14:52:50 2023,1,1
25 1a,,Ammonia 2.0, 0.4924,mg N/L,0.320528,Thu Jun 15 11:55:58 2023,1,1
25 1a,,Nitrate 2, 0.0249,mg N/L,0.030880,Thu Jun 15 14:54:52 2023,1,1
9 1b,,Ammonia 2.0, 0.7527,mg N/L,0.443921,Thu Jun 15 11:57:56 2023,1,1
9 1b,,Nitrate 2, 0.0232,mg N/L,0.030473,Thu Jun 15 14:56:55 2023,1,1
58 2b,,Ammonia 2.0, 0.4413,mg N/L,0.296289,Thu Jun 15 11:59:55 2023,1,1
58 2b,,Nitrate 2, 0.0364,mg N/L,0.033755,Thu Jun 15 14:58:57 2023,1,1
28 2a,,Ammonia 2.0, 0.3040,mg N/L,0.231233,Thu Jun 15 12:01:54 2023,1,1
28 2a,,Nitrate 2, 0.0353,mg N/L,0.033471,Thu Jun 15 15:01:00 2023,1,1
C C V,,Ammonia 2.0, 1.0215,mg N/L,0.571309,Thu Jun 15 12:03:53 2023,1,1
C C V,,Nitrate 2, 0.9689,mg N/L,0.265105,Thu Jun 15 15:03:02 2023,1,1
C C B ,,Ammonia 2.0,-0.0153,mg N/L,0.079900,Thu Jun 15 12:05:52 2023,1,1
C C B ,,Nitrate 2,-0.0284,mg N/L,0.017672,Thu Jun 15 15:05:05 2023,1,1
37 1a,,Ammonia 2.0, 0.3952,mg N/L,0.274457,Thu Jun 15 12:07:52 2023,1,1
37 1a,,Nitrate 2, 0.0173,mg N/L,0.029009,Thu Jun 15 15:07:08 2023,1,1
38 2a,,Ammonia 2.0, 0.6566,mg N/L,0.398341,Thu Jun 15 12:09:50 2023,1,1
38 2a,,Nitrate 2, 0.0142,mg N/L,0.028234,Thu Jun 15 15:09:13 2023,1,1
12 1a,,Ammonia 2.0, 0.3270,mg N/L,0.242129,Thu Jun 15 12:11:49 2023,1,1
12 1a,,Nitrate 2, 0.0206,mg N/L,0.029820,Thu Jun 15 15:11:16 2023,1,1
58 2a,,Ammonia 2.0, 0.3716,mg N/L,0.263268,Thu Jun 15 12:13:49 2023,1,1
58 2a,,Nitrate 2, 0.0288,mg N/L,0.031854,Thu Jun 15 15:13:19 2023,1,1
28 2a,,Ammonia 2.0, 0.5583,mg N/L,0.351749,Thu Jun 15 12:15:49 2023,1,1
28 2a,,Nitrate 2, 0.0224,mg N/L,0.030261,Thu Jun 15 15:15:22 2023,1,1
27 1b,,Ammonia 2.0, 0.6512,mg N/L,0.395810,Thu Jun 15 12:17:48 2023,1,1
27 1b,,Nitrate 2, 0.0348,mg N/L,0.033346,Thu Jun 15 15:17:25 2023,1,1
3 2a,,Ammonia 2.0, 0.5222,mg N/L,0.334651,Thu Jun 15 12:19:46 2023,1,1
3 2a,,Nitrate 2, 0.0171,mg N/L,0.028956,Thu Jun 15 15:19:27 2023,1,1
5 1a,,Ammonia 2.0, 0.4113,mg N/L,0.282098,Thu Jun 15 12:21:44 2023,1,1
5 1a,,Nitrate 2, 0.0112,mg N/L,0.027496,Thu Jun 15 15:21:30 2023,1,1
9 2b,,Ammonia 2.0, 0.6757,mg N/L,0.407393,Thu Jun 15 12:23:43 2023,1,1
9 2b,,Nitrate 2, 0.0230,mg N/L,0.030420,Thu Jun 15 15:23:32 2023,1,1
60 1b,,Ammonia 2.0, 0.6223,mg N/L,0.382102,Thu Jun 15 12:25:40 2023,1,1
60 1b,,Nitrate 2, 0.0156,mg N/L,0.028586,Thu Jun 15 15:25:34 2023,1,1
C C V,,Ammonia 2.0, 1.0177,mg N/L,0.569499,Thu Jun 15 12:27:38 2023,1,1
C C V,,Nitrate 2, 0.9699,mg N/L,0.265347,Thu Jun 15 15:27:37 2023,1,1
C C B ,,Ammonia 2.0,-0.0227,mg N/L,0.076391,Thu Jun 15 12:29:36 2023,1,1
C C B ,,Nitrate 2,-0.0316,mg N/L,0.016884,Thu Jun 15 15:29:39 2023,1,1
5 1b,,Ammonia 2.0, 0.4259,mg N/L,0.289007,Thu Jun 15 12:31:35 2023,1,1
5 1b,,Nitrate 2, 0.0259,mg N/L,0.031145,Thu Jun 15 15:31:42 2023,1,1
7 2b,,Ammonia 2.0, 0.3873,mg N/L,0.270695,Thu Jun 15 12:33:33 2023,1,1
