Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0, 0.0873,mg N/L,0.087289,Fri Jun 16 11:52:34 2023,1,1
STANDARD 1,,Nitrate 2, 0.0161,mg N/L,0.016120,Fri Jun 16 13:32:08 2023,1,1
STANDARD 90,,Ammonia 2.0, 0.1111,mg N/L,0.111100,Fri Jun 16 11:54:34 2023,1,1
STANDARD 90,,Nitrate 2, 0.0283,mg N/L,0.028294,Fri Jun 16 13:34:11 2023,1,1
STANDARD 91,,Ammonia 2.0, 0.1423,mg N/L,0.142292,Fri Jun 16 11:56:34 2023,1,1
STANDARD 91,,Nitrate 2, 0.0458,mg N/L,0.045833,Fri Jun 16 13:36:13 2023,1,1
STANDARD 92,,Ammonia 2.0, 0.1973,mg N/L,0.197305,Fri Jun 16 11:58:32 2023,1,1
STANDARD 92,,Nitrate 2, 0.0761,mg N/L,0.076054,Fri Jun 16 13:38:15 2023,1,1
STANDARD 93,,Ammonia 2.0, 0.3634,mg N/L,0.363431,Fri Jun 16 12:00:30 2023,1,1
STANDARD 93,,Nitrate 2, 0.1597,mg N/L,0.159721,Fri Jun 16 13:40:17 2023,1,1
STANDARD 94,,Ammonia 2.0, 0.6421,mg N/L,0.642117,Fri Jun 16 12:02:28 2023,1,1
STANDARD 94,,Nitrate 2, 0.2972,mg N/L,0.297202,Fri Jun 16 13:42:19 2023,1,1
STANDARD 95,,Ammonia 2.0, 1.1102,mg N/L,1.110162,Fri Jun 16 12:04:26 2023,1,1
STANDARD 95,,Nitrate 2, 0.5343,mg N/L,0.534287,Fri Jun 16 13:44:21 2023,1,1
STANDARD 0,,Ammonia 2.0, 0.0806,mg N/L,0.080573,Fri Jun 16 12:06:24 2023,1,1
STANDARD 0,,Nitrate 2, 0.0177,mg N/L,0.017716,Fri Jun 16 13:46:23 2023,1,1
C C V,,Ammonia 2.0, 0.9417,mg N/L,0.581734,Fri Jun 16 12:08:22 2023,1,1
C C V,,Nitrate 2, 1.0058,mg N/L,0.284374,Fri Jun 16 13:48:25 2023,1,1
C C B ,,Ammonia 2.0,-0.0242,mg N/L,0.084066,Fri Jun 16 12:10:20 2023,1,1
C C B ,,Nitrate 2,-0.0205,mg N/L,0.017235,Fri Jun 16 13:50:26 2023,1,1
29 1b,,Ammonia 2.0, 0.3977,mg N/L,0.301454,Fri Jun 16 12:12:19 2023,1,1
29 1b,,Nitrate 2, 0.0266,mg N/L,0.029511,Fri Jun 16 13:52:28 2023,1,1
56 1b,,Ammonia 2.0, 0.8475,mg N/L,0.533189,Fri Jun 16 12:14:17 2023,1,1
56 1b,,Nitrate 2, 0.0197,mg N/L,0.027713,Fri Jun 16 13:54:32 2023,1,1
27 1a,,Ammonia 2.0, 0.5114,mg N/L,0.360016,Fri Jun 16 12:16:15 2023,1,1
27 1a,,Nitrate 2, 0.0175,mg N/L,0.027133,Fri Jun 16 13:56:36 2023,1,1
31 1a,,Ammonia 2.0, 0.2112,mg N/L,0.205334,Fri Jun 16 12:18:16 2023,1,1
31 1a,,Nitrate 2, 0.0316,mg N/L,0.030802,Fri Jun 16 13:58:38 2023,1,1
12 1b,,Ammonia 2.0, 0.2890,mg N/L,0.245429,Fri Jun 16 12:20:15 2023,1,1
12 1b,,Nitrate 2, 0.0222,mg N/L,0.028364,Fri Jun 16 14:00:39 2023,1,1
40 1b,,Ammonia 2.0, 0.7097,mg N/L,0.462188,Fri Jun 16 12:22:14 2023,1,1
40 1b,,Nitrate 2, 0.0174,mg N/L,0.027116,Fri Jun 16 14:02:41 2023,1,1
1 2a,,Ammonia 2.0, 0.4181,mg N/L,0.311976,Fri Jun 16 12:24:12 2023,1,1
1 2a,,Nitrate 2, 0.0180,mg N/L,0.027274,Fri Jun 16 14:04:42 2023,1,1
8 2b,,Ammonia 2.0, 0.8018,mg N/L,0.509667,Fri Jun 16 12:26:11 2023,1,1
8 2b,,Nitrate 2, 0.0108,mg N/L,0.025380,Fri Jun 16 14:06:44 2023,1,1
59 1a,,Ammonia 2.0, 0.3976,mg N/L,0.301374,Fri Jun 16 12:28:10 2023,1,1
59 1a,,Nitrate 2, 0.0242,mg N/L,0.028893,Fri Jun 16 14:08:46 2023,1,1
4 2a,,Ammonia 2.0, 0.1703,mg N/L,0.184295,Fri Jun 16 12:30:08 2023,1,1
4 2a,,Nitrate 2, 0.0374,mg N/L,0.032328,Fri Jun 16 14:10:47 2023,1,1
C C V,,Ammonia 2.0, 0.9675,mg N/L,0.595046,Fri Jun 16 12:32:07 2023,1,1
C C V,,Nitrate 2, 0.9243,mg N/L,0.263145,Fri Jun 16 14:12:49 2023,1,1
C C B ,,Ammonia 2.0,-0.0255,mg N/L,0.083380,Fri Jun 16 12:34:06 2023,1,1
C C B ,,Nitrate 2,-0.0200,mg N/L,0.017372,Fri Jun 16 14:14:51 2023,1,1
10 1b,,Ammonia 2.0, 0.5139,mg N/L,0.361314,Fri Jun 16 12:36:06 2023,1,1
10 1b,,Nitrate 2, 0.0178,mg N/L,0.027203,Fri Jun 16 14:16:53 2023,1,1
59 1b,,Ammonia 2.0, 0.3340,mg N/L,0.268612,Fri Jun 16 12:38:04 2023,1,1
59 1b,,Nitrate 2, 0.0316,mg N/L,0.030802,Fri Jun 16 14:18:57 2023,1,1
38 2b,,Ammonia 2.0, 0.4800,mg N/L,0.343866,Fri Jun 16 12:40:03 2023,1,1
38 2b,,Nitrate 2, 0.0147,mg N/L,0.026414,Fri Jun 16 14:21:01 2023,1,1
60 1a,,Ammonia 2.0, 0.6501,mg N/L,0.431499,Fri Jun 16 12:42:03 2023,1,1
60 1a,,Nitrate 2, 0.0162,mg N/L,0.026799,Fri Jun 16 14:23:03 2023,1,1
25 2b,,Ammonia 2.0, 0.3298,mg N/L,0.266442,Fri Jun 16 12:44:03 2023,1,1
25 2b,,Nitrate 2, 0.0288,mg N/L,0.030076,Fri Jun 16 14:25:05 2023,1,1
26 1b,,Ammonia 2.0, 0.6295,mg N/L,0.420880,Fri Jun 16 12:46:02 2023,1,1
26 1b,,Nitrate 2, 0.0194,mg N/L,0.027643,Fri Jun 16 14:27:07 2023,1,1
6 2b,,Ammonia 2.0, 0.3983,mg N/L,0.301778,Fri Jun 16 12:48:00 2023,1,1
