Nr	Ident	Seq       	Time                	Pos	P     	Unit	S      	Unit		    	
1 	07-1 	Ave of 3  	17-May-2023 12:10:32	1  	311.387	ppm 	89.737 	ppm 	
2 	31-2 	Ave of 3  	17-May-2023 12:14:18	2  	324.931	ppm 	52.161 	ppm 	
3 	05-1  	Ave of 3  	23-May-2023 18:23:27	1  	314.418	ppm 	65.122 	ppm 	
4 	28-1 	Ave of 3  	23-May-2023 18:27:11	2  	296.716	ppm 	70.027 	ppm 	
5 	12-1 	Ave of 3  	23-May-2023 18:30:55	3  	277.981	ppm 	82.178 	ppm 	
6 	39-2 	Ave of 3  	23-May-2023 18:34:39	4  	320.534	ppm 	114.626	ppm 	
7 	60-2 	Ave of 3  	23-May-2023 18:38:24	5  	345.366	ppm 	55.102 	ppm 	
8 	57-1 	Ave of 3  	23-May-2023 18:42:07	6  	334.339	ppm 	88.590 	ppm 	
9 	49-1 	Ave of 3  	23-May-2023 18:58:35	1  	305.074	ppm 	62.892 	ppm 	
10	40-1 	Ave of 3  	23-May-2023 19:02:19	2  	321.394	ppm 	106.462	ppm 	
11	07-1  	Ave of 3  	23-May-2023 19:06:03	3  	289.299	ppm 	79.261 	ppm 	
12	08-1  	Ave of 3  	23-May-2023 19:09:47	4  	331.033	ppm 	73.169 	ppm 	
13	56-2 	Ave of 3  	30-May-2023 18:37:59	10 	324.054	ppm 	87.248 	ppm 	
14	30-1 	Ave of 3  	30-May-2023 18:41:45	1  	329.731	ppm 	56.975 	ppm 	
15	1-10 	Ave of 3  	30-May-2023 18:45:29	2  	322.037	ppm 	67.122 	ppm 	
16	27-2 	Ave of 3  	30-May-2023 18:49:13	3  	333.307	ppm 	86.649 	ppm 	
17	60-1 	Ave of 3  	30-May-2023 18:52:57	4  	328.927	ppm 	78.118 	ppm 	
18	40-2 	Ave of 3  	30-May-2023 18:56:41	5  	319.168	ppm 	135.867	ppm 	
19	59-1 	Ave of 3  	30-May-2023 19:00:25	6  	304.618	ppm 	51.977 	ppm 	
20	38-1 	Ave of 3  	30-May-2023 19:04:09	7  	350.636	ppm 	56.690 	ppm 	
21	31-2 	Ave of 3  	30-May-2023 19:07:53	8  	318.638	ppm 	50.645 	ppm 	
22	34-1 	Ave of 3  	30-May-2023 19:11:37	9  	321.602	ppm 	77.001 	ppm 	
23	34-2 	Ave of 3  	31-May-2023 17:27:54	10 	286.713	ppm 	62.603 	ppm 	
24	06-1 	Ave of 3  	31-May-2023 17:31:40	1  	146.786	ppm 	52.312 	ppm 	
25	58-1 	Ave of 3  	31-May-2023 17:35:24	2  	331.862	ppm 	68.324 	ppm 	
26	39-1 	Ave of 3  	31-May-2023 17:39:08	3  	300.468	ppm 	61.279 	ppm 	
27	30-2 	Ave of 3  	31-May-2023 17:42:52	4  	303.947	ppm 	59.656 	ppm 	
28	31-1 	Ave of 3  	31-May-2023 17:46:36	5  	291.437	ppm 	63.503 	ppm 	
29	11-1 	Ave of 3  	31-May-2023 17:50:20	6  	306.455	ppm 	90.317 	ppm 	
30	45-2 	Ave of 3  	31-May-2023 17:54:04	7  	380.310	ppm 	108.221	ppm 	
31	49-2 	Ave of 3  	31-May-2023 17:57:48	8  	295.278	ppm 	94.880 	ppm 	
32	06-2 	Ave of 3  	31-May-2023 18:01:32	9  	301.423	ppm 	85.163 	ppm 	
33	60-1 	Ave of 3  	01-Jun-2023 16:05:16	10 	331.146	ppm 	79.681 	ppm 	
34	11-2 	Ave of 3  	01-Jun-2023 16:09:02	1  	336.113	ppm 	39.641 	ppm 	
35	37-1 	Ave of 3  	01-Jun-2023 16:12:46	2  	317.477	ppm 	87.639 	ppm 	
36	59-2 	Ave of 3  	01-Jun-2023 16:16:31	3  	318.200	ppm 	61.228 	ppm 	
37	09-2 	Ave of 3  	01-Jun-2023 16:20:15	4  	313.367	ppm 	77.936 	ppm 	
38	57-2 	Ave of 3  	01-Jun-2023 16:23:59	5  	314.990	ppm 	71.525 	ppm 	
39	12-2 	Ave of 3  	01-Jun-2023 16:27:45	6  	311.098	ppm 	70.009 	ppm 	
40	56-1 	Ave of 3  	01-Jun-2023 16:31:29	7  	338.632	ppm 	88.821 	ppm 	
41	26-1 	Ave of 3  	01-Jun-2023 16:35:15	8  	307.976	ppm 	86.074 	ppm 	
42	60-2 	Ave of 3  	01-Jun-2023 16:38:58	9  	313.892	ppm 	75.587 	ppm 	
43	03-2 	Ave of 3  	15-Jun-2023 19:05:36	1  	328.001	ppm 	77.608 	ppm 	
44	26-2 	Ave of 3  	15-Jun-2023 19:09:20	2  	325.458	ppm 	62.844 	ppm 	
45	05-2 	Ave of 3  	15-Jun-2023 19:13:04	3  	312.096	ppm 	66.722 	ppm 	
46	10-2 	Ave of 3  	15-Jun-2023 19:16:48	4  	318.471	ppm 	91.546 	ppm 	
47	25-1 	Ave of 3  	15-Jun-2023 19:20:33	5  	315.865	ppm 	84.351 	ppm 	
48	27-1 	Ave of 3  	15-Jun-2023 19:24:17	6  	319.814	ppm 	118.709	ppm 	
49	29-1 	Ave of 3  	21-Jun-2023 19:04:47	10 	300.421	ppm 	85.027 	ppm 	
50	29-2 	Ave of 3  	21-Jun-2023 19:08:33	1  	315.329	ppm 	44.647 	ppm 	
51	25-2 	Ave of 3  	21-Jun-2023 19:12:17	2  	319.357	ppm 	50.584 	ppm 	
52	03-1 	Ave of 3  	21-Jun-2023 19:16:01	3  	108.185	ppm 	40.848 	ppm 	
53	01-2 	Ave of 3  	21-Jun-2023 19:19:45	4  	303.425	ppm 	50.178 	ppm 	
54	08-2 	Ave of 3  	21-Jun-2023 19:23:30	5  	324.796	ppm 	85.779 	ppm 	
55	38-2 	Ave of 3  	21-Jun-2023 19:27:14	6  	332.263	ppm 	75.535 	ppm 	
56	04-2 	Ave of 3  	21-Jun-2023 19:30:59	7  	298.208	ppm 	26.388 	ppm 	
57	04-1 	Ave of 3  	21-Jun-2023 19:34:44	8  	305.963	ppm 	29.217 	ppm 	
58	07-2 	Ave of 3  	21-Jun-2023 19:38:28	9  	288.137	ppm 	72.759 	ppm 	
59	37-2 	Ave of 3  	23-Jun-2023 18:01:21	1  	296.069	ppm 	41.438 	ppm 	
60	10-1 	Ave of 3  	23-Jun-2023 18:05:06	2  	357.790	ppm 	109.941	ppm 	
61	58-2 	Ave of 3  	23-Jun-2023 18:08:50	3  	290.735	ppm 	26.648 	ppm 	
62	09-1 	Ave of 3  	23-Jun-2023 18:15:02	1  	337.963	ppm 	61.857 	ppm 	
63	20-2 	Ave of 3  	23-Jun-2023 18:18:46	2  	310.234	ppm 	59.188 	ppm 	
64	45-1 	Ave of 3  	23-Jun-2023 18:22:30	3  	364.947	ppm 	90.180 	ppm 	
65	???? 	Ave of 64 	23-Jun-2023 18:22:30	   	311.661	ppm 	72.250 	ppm 	
66	???? 	SDev of 64	23-Jun-2023 18:22:30	   	38.444 	ppm 	21.999 	ppm 	
