Name,Location,Mass,Method,Carbon %,Nitrogen %
1 T1,A10,0.2179,soil macro NEW,6.318,0.16167
1 T2,A01,0.2052,soil macro NEW,3.1931,0.01962
10 T1,A04,0.201,soil macro NEW,8.2219,0.11274
10 T2,B04,0.2118,soil macro NEW,5.5992,0.14579
11 T1,C06,0.2082,soil macro NEW,3.2763,0.03378
11 T2,B05,0.211,soil macro NEW,1.706,0.04369
12 T1,B06,0.2042,soil macro NEW,2.8202,0.05049
12 T2,E07,0.2043,soil macro NEW,2.1151,0.017
25 T1,A10,0.208,soil macro NEW,6.1312,0.07539
25 T2,B04,0.2037,soil macro NEW,1.7085,0.0186
26 T1,A09,0.2144,soil macro NEW,4.5864,0.09911
26 T2,B02,0.2082,soil macro NEW,4.7465,0.08495
27 T1,E02,0.206,soil macro NEW,5.557,0.13596
27 T2,A08,0.2069,soil macro NEW,5.4044,0.09805
28 T1,D01,0.204,soil macro NEW,3.4458,0.07616
28 T2,B07,0.2084,soil macro NEW,3.9879,0.10739
29 T1,D04,0.2082,soil macro NEW,3.8906,0.0874
29 T2,D10,0.2056,soil macro NEW,2.674,0.0465
3 T1,C10,0.2017,soil macro NEW,3.5019,0.055
3 T2,B01,0.204,soil macro NEW,2.9333,0.00737
30 T1,A06,0.222,soil macro NEW,2.4317,0.03626
30 T2,B10,0.2054,soil macro NEW,2.9654,0.05814
31 T1,B06,0.2114,soil macro NEW,3.4627,0.0585
31 T2,B03,0.2049,soil macro NEW,3.0008,0.05969
34 T1,D05,0.2054,soil macro NEW,2.895,0.02581
34 T2,E09,0.2021,soil macro NEW,2.7508,0.02699
37 T1,B09,0.2053,soil macro NEW,2.5958,0.02026
37 T2,A05,0.2125,soil macro NEW,2.2547,0.01657
38 T2,A09,0.2012,soil macro NEW,5.2718,0.11967
38 T1,A07,0.2069,soil macro NEW,5.96,0.12756
39 T1,C03,0.2059,soil macro NEW,5.7829,0.11994
39 T2,C09,0.2036,soil macro NEW,5.7977,0.094
4 T2,A09,0.2006,soil macro NEW,1.6642,0.03144
40 T1,B01,0.2129,soil macro NEW,5.1292,0.1599
40 T2,B04,0.2057,soil macro NEW,7.2516,0.17606
45 T1,A06,0.22,soil macro NEW,7.1587,0.21005
45 T2,D02,0.2032,soil macro NEW,8.7014,0.17406
49 T1,D03,0.2064,soil macro NEW,3.744,0.04254
49 T2,A07,0.2056,soil macro NEW,3.845,0.04942
4 T1,A08,0.2034,soil macro NEW,2.0383,-0.00915
5 T1,D08,0.2068,soil macro NEW,3.3293,0.03071
5 T2,C02,0.2034,soil macro NEW,2.2253,0.02246
56 T1,E06,0.2037,soil macro NEW,4.2317,0.08606
56 T2,A08,0.2264,soil macro NEW,5.185,0.12736
57 T1,D06,0.2031,soil macro NEW,8.2193,0.09422
57 T2,E04,0.2008,soil macro NEW,4.4997,0.06073
58 T1,B05,0.2049,soil macro NEW,1.9055,0.03228
58 T2,A03,0.2169,soil macro NEW,1.9117,0.01299
59 T1,B08,0.21,soil macro NEW,2.8879,0.05635
59 T2,B08,0.2019,soil macro NEW,2.7027,0.01729
6 T1,C05,0.206,soil macro NEW,2.8717,0.05124
6 T2,B03,0.2037,soil macro NEW,3.0663,0.05447
60 T1B,C07,0.2095,soil macro NEW,5.1967,0.06881
60 T1A,C08,0.2044,soil macro NEW,6.645,0.14348
60 T2A,B05,0.2028,soil macro NEW,5.1595,0.05934
60 T2B,B07,0.2063,soil macro NEW,6.6244,0.12175
7 T1,D09,0.2065,soil macro NEW,4.0009,0.03869
7 T2,E01,0.2094,soil macro NEW,3.7072,0.06081
8 T1,B02,0.2108,soil macro NEW,2.9789,0.04442
8 T2,E03,0.2016,soil macro NEW,6.9823,0.09722
9 T1,A02,0.2202,soil macro NEW,3.6998,0.05784
9 T2,A01,0.227,soil macro NEW,3.9546,0.14439
EDTA,C01,0.2066,soil macro NEW,41.898,9.4499
SOIL,D07,0.2023,soil macro NEW,2.3401,0.19251
SOIL,A02,0.204,soil macro NEW,2.3276,0.19245
60 T1B,B01,0.2043,soil macro NEW,5.2389,0.08734
60 T1A,A10,0.201,soil macro NEW,6.6523,0.10432
60 T2A,B02,0.2062,soil macro NEW,5.1562,0.05012
60 T2B,B03,0.2031,soil macro NEW,6.6487,0.1241
