Hit/Sample,Samples count,Total,CG124-ITS-CG77,CG124-ITS-CG90,CG124-ITS-CG46,CG124-ITS-CG85,CG124-ITS-CG88,CG124-ITS-CG97,CG124-ITS-CG94,CG124-ITS-CG91,CG124-ITS-CG42,CG124-ITS-CG41,CG124-ITS-CG15,CG124-ITS-CG86,CG124-ITS-CG45,CG124-ITS-CG5,CG124-ITS-CG31,CG124-ITS-CG59,CG124-ITS-CG18,CG124-ITS-CG76,CG124-ITS-CG78,CG124-ITS-CG43,CG124-ITS-CG62,CG124-ITS-CG93,CG124-ITS-CG37,CG124-ITS-CG61,CG124-ITS-CG89,CG124-ITS-CG66,CG124-ITS-CG57,CG124-ITS-CG75,CG124-ITS-CG3,CG124-ITS-CG112,CG124-ITS-CG30,CG124-ITS-CG92,CG124-ITS-CG50,CG124-ITS-CG70,CG124-ITS-CG79,CG124-ITS-CG9,CG124-ITS-CG49,CG124-ITS-CG54,CG124-ITS-CG38,CG124-ITS-CG34,CG124-ITS-CG1,CG124-ITS-CG4,CG124-ITS-CG23,CG124-ITS-CG103,CG124-ITS-CG22,CG124-ITS-CG36,CG124-ITS-CG14,CG124-ITS-CG7,CG124-ITS-CG2,CG124-ITS-CG87,CG124-ITS-CG63,CG124-ITS-CG21,CG124-ITS-CG17,CG124-ITS-CG95,CG124-ITS-CG64,CG124-ITS-CG10,CG124-ITS-CG33,CG124-ITS-CG11,CG124-ITS-CG44,CG124-ITS-CG48,CG124-ITS-CG20,CG124-ITS-CG73,CG124-ITS-CG19,CG124-ITS-CG65,CG124-ITS-CG6,CG124-ITS-CG68,CG124-ITS-CG83,CG124-ITS-CG56,CG124-ITS-CG13,CG124-ITS-CG51,CG124-ITS-CG84,CG124-ITS-CG12,CG124-ITS-CG53,CG124-ITS-CG58,CG124-ITS-CG80,CG124-ITS-CG16,CG124-ITS-CG28,CG124-ITS-CG25,CG124-ITS-CG32,CG124-ITS-CG47,CG124-ITS-CG67,CG124-ITS-CG39,CG124-ITS-CG35,CG124-ITS-CG52,CG124-ITS-CG40,CG124-ITS-CG72,CG124-ITS-CG74,CG124-ITS-CG27,CG124-ITS-CG26,CG124-ITS-CG55,CG124-ITS-CG69,CG124-ITS-CG8,CG124-ITS-CG24,CG124-ITS-CG98,CG124-ITS-CG81,CG124-ITS-CG29,CG124-ITS-CG60,CG124-ITS-CG82,CG124-ITS-CG106,CG124-ITS-CG102,CG124-ITS-CG71,CG124-ITS-CG101,CG124-ITS-CG114,CG124-ITS-CG122,CG124-ITS-CG110,CG124-ITS-CG111,CG124-ITS-CG109,CG124-ITS-CG96,CG124-ITS-CG99,CG124-ITS-CG117,CG124-ITS-CG119,CG124-ITS-CG105,CG124-ITS-CG107,CG124-ITS-CG113,CG124-ITS-CG121,CG124-ITS-CG115,CG124-ITS-CG118,CG124-ITS-CG104,CG124-ITS-CG123,CG124-ITS-CG100,CG124-ITS-CG120,CG124-ITS-CG108,CG124-ITS-CG124,CG124-ITS-CG116,taxonomy
Taxa count,,1754,176,99,135,317,148,294,171,260,180,192,315,216,172,155,177,121,276,170,178,231,182,190,114,169,125,132,128,147,285,188,180,212,186,155,202,155,194,186,131,175,329,251,220,133,134,119,205,121,241,192,175,122,234,143,185,147,141,244,163,148,139,240,124,91,140,204,201,183,234,214,129,223,254,125,180,204,220,88,206,178,248,169,165,161,144,158,176,160,110,187,189,99,167,192,163,150,110,170,123,104,99,43,68,61,56,39,24,37,34,24,21,23,30,17,14,21,27,15,18,22,8,11,5,9,
Total,124,1097392,22021,19660,19359,19174,17979,17854,17107,16838,16354,16053,15712,15689,15439,15278,15213,15083,14492,14310,14303,13364,13294,13253,13094,12919,12649,12591,12474,12449,12383,12320,12251,12194,12141,12107,12017,11939,11871,11857,11855,11715,11556,11525,11515,11399,11355,11325,11299,11031,11012,10980,10827,10817,10754,10600,10423,10318,9931,9826,9790,9787,9765,9529,9499,9426,9345,9187,9134,9091,9050,8884,8839,8785,8594,8461,8393,8360,8321,8275,8167,7857,7755,7745,7623,7475,7474,7205,7150,6949,6933,6759,6667,6321,6046,5518,5133,4629,4116,3523,1982,1880,1641,673,617,531,520,390,369,364,272,224,218,175,165,127,98,94,94,64,62,43,28,21,16,16,
SH1257715.09FU,124,521712,2978,3262,10664,9487,6139,10590,5712,9990,5190,5617,8732,11974,10860,6587,6664,4442,9074,5473,1978,5053,5863,5911,10048,6774,8717,1695,7764,7035,5988,8757,8495,7779,5712,9374,4960,7464,5068,6243,5044,2795,6603,6295,7045,7694,8747,1866,6953,7207,6771,2065,7340,5820,6791,4075,5499,7647,4230,4900,3644,4222,6085,3771,3503,2204,5696,2033,3012,3712,5079,6051,1097,4460,4696,6563,2159,5026,3985,1503,3936,3997,3833,4651,2250,4451,5023,4140,2291,3102,156,4198,253,4390,3070,3119,1923,3615,244,582,1212,356,127,564,362,319,117,218,312,264,94,187,93,33,47,19,13,15,18,45,8,19,19,9,10,7,100%|Rhizophydiales_sp|UDB0641656|SH1257715.09FU|reps|k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Rhizophydiales_gen_Incertae_sedis;s__Rhizophydiales_sp
SH1322839.09FU,107,71482,12404,11940,185,1397,8244,267,2248,467,138,210,489,235,2,585,2162,943,584,1461,3560,382,503,1214,33,199,0,2594,2447,71,312,233,50,755,816,12,1562,61,0,1237,43,2,414,88,101,0,0,5,131,1636,164,15,20,0,331,0,27,7,440,7,147,8,12,25,0,0,113,913,101,3,70,95,5,5,316,20,2634,622,139,0,407,318,323,0,107,41,0,362,61,351,0,26,12,0,3,99,9,89,0,56,47,5,113,11,11,11,2,45,4,1,3,1,47,105,1,75,67,1,0,0,1,1,0,1,2,2,100%|GS35_sp|UDB097091|SH1322839.09FU|reps|k__Fungi;p__Ascomycota;c__GS35;o__GS35_ord_Incertae_sedis;f__GS35_fam_Incertae_sedis;g__GS35_gen_Incertae_sedis;s__GS35_sp
SH1391982.09FU,118,47375,580,293,2001,187,1201,216,936,704,1786,992,76,784,441,282,1096,4751,161,558,761,879,252,1103,705,384,369,516,630,347,170,329,253,522,653,162,1628,135,627,110,3282,335,421,261,36,36,5,11,138,229,91,38,184,12,451,155,40,140,1084,57,648,650,84,161,168,1686,410,159,55,53,109,201,16,55,88,83,686,48,172,333,853,254,85,64,24,81,375,465,57,291,2511,63,771,6,41,158,45,131,417,46,64,14,5,18,8,14,4,9,14,10,3,7,4,2,1,5,0,0,1,1,0,1,1,0,0,0,100%|Umbelopsis_angularis|JN206380|SH1391982.09FU|refs|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_angularis
SH0879828.09FU,116,16822,360,0,18,113,690,60,71,260,32,27,24,26,47,112,43,22,52,72,249,36,7,526,4,9,24,116,21,41,64,63,21,115,137,62,36,22,66,30,18,439,163,44,53,57,4,1,11,8,36,3614,82,10,54,598,10,7,81,74,26,8,23,119,27,68,9,2999,11,1,17,31,11,97,42,48,55,6,52,9,38,7,1391,30,2,17,31,31,103,67,130,10,103,14,813,63,7,13,143,24,19,641,221,2,8,7,139,2,0,1,2,1,1,1,0,0,0,2,33,1,0,1,0,1,0,1,100%|Solicoccozyma_fuscescens|KY105436|SH0879828.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_fuscescens
SH1306492.09FU,95,15139,256,1,18,15,99,24,1632,195,0,11,13,3,5,876,705,1898,8,57,294,57,219,439,59,70,12,2844,9,7,38,1,303,117,2,158,62,0,3,14,77,2,24,43,3,0,1,4,53,0,28,3,3,0,11,3,35,3,26,46,23,2,0,25,0,2168,168,45,42,2,39,120,28,97,11,7,55,5,55,648,119,6,17,0,19,42,0,44,22,78,156,6,48,0,10,43,18,37,0,2,22,0,5,3,6,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,100%|Mortierella_sp|UDB04688004|SH1306492.09FU|reps|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp
SH0940991.09FU,104,14717,269,460,60,15,86,41,121,117,1278,1645,19,4,147,38,352,166,26,5,116,1932,119,152,0,45,101,264,136,4,227,13,1,28,2,0,632,40,6,0,379,67,78,55,6,2,0,0,18,0,23,0,64,80,27,18,15,2,898,13,1859,2,0,7,14,1153,2,3,9,1,27,84,5,12,5,7,104,30,111,101,124,3,3,132,11,36,41,12,22,78,6,2,0,0,0,26,184,13,1,29,10,6,0,1,5,2,2,2,3,2,2,0,0,3,1,3,1,0,0,1,0,1,0,1,0,0,100%|Umbelopsis_sp|UDB0453507|SH0940991.09FU|reps|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp
SH1258648.09FU,94,12740,1,121,0,605,0,40,0,49,3,6,138,111,4,2,0,0,54,0,0,16,5,8,0,24,79,0,81,1602,168,0,3,15,24,24,4,20,5,0,0,0,114,573,641,43,44,1,80,47,32,175,1110,568,2,4,930,0,2,1074,8,0,11,480,2,0,1,1,135,717,111,106,479,807,41,202,1,17,34,0,2,2,0,10,1,33,27,1,163,2,0,283,1,9,149,49,50,0,0,28,21,32,0,4,8,15,7,1,3,2,13,3,0,0,5,0,0,3,2,0,2,0,2,0,2,0,100%|Mycena_sp|UDB05033132|SH1258648.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena;s__Mycena_sp
SH0911922.09FU,105,11990,42,2,26,95,33,27,1573,929,115,28,10,430,6,60,248,380,4,35,54,465,1,584,17,2,28,418,1,4,162,18,84,468,0,35,344,22,43,1,504,29,24,66,5,3,0,12,23,3,21,3,17,4,11,4,9,17,126,56,362,41,20,6,37,84,24,184,16,1,36,71,1,103,0,7,104,0,300,583,147,2,54,0,19,37,10,7,4,194,1213,5,0,2,6,266,14,30,87,3,92,0,6,12,25,22,0,1,7,0,1,4,1,0,0,0,0,5,0,0,1,0,0,2,0,0,100%|Umbelopsis_isabellina|JN206400|SH0911922.09FU|refs|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_isabellina
SH1278398.09FU,70,11173,367,197,0,112,6,946,1,26,0,0,524,25,0,0,8,0,63,4,0,19,62,8,0,720,0,0,0,888,168,441,51,12,0,0,9,86,0,10,0,0,349,167,57,0,13,0,51,119,562,0,16,0,535,98,171,0,0,160,1,0,2,50,638,0,154,18,1,0,31,211,3,121,9,0,2,200,5,0,0,53,53,0,0,45,0,0,5,2,0,0,347,0,37,13,1073,29,0,862,4,0,143,2,3,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,100%|Ramaria_sp|UDB06259095|SH1278398.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Gomphaceae;g__Ramaria;s__Ramaria_sp
SH1275471.09FU,72,10188,16,0,70,2,0,59,320,93,0,0,3,0,0,309,60,1,15,13,137,9,0,141,0,0,2,86,0,16,27,1,1057,6,0,0,34,0,0,93,23,21,21,191,10,3,0,0,143,0,36,0,1,0,6,0,8,0,0,18,0,0,41,4,0,0,3,0,3376,15,589,2,1078,28,523,0,11,11,2,70,73,88,2,0,0,2,0,0,4,3,105,47,0,0,37,579,0,69,0,0,190,1,2,0,63,42,0,0,0,1,34,0,0,0,19,0,0,13,0,0,9,1,0,0,0,0,100%|Rickenella_sp|UDB0945946|SH1275471.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Rickenellaceae;g__Rickenella;s__Rickenella_sp
SH1275469.09FU,90,8896,0,341,0,102,0,90,0,7,30,33,90,15,122,76,12,0,289,0,0,4,85,2,0,56,0,0,10,338,23,232,15,3,20,0,0,394,136,6,0,0,32,15,7,980,1,54,100,276,63,0,21,133,155,0,221,137,0,83,0,9,312,586,121,0,40,7,117,1,115,19,482,66,63,130,0,45,21,0,1,34,14,308,4,12,381,1,310,8,0,4,15,606,4,14,28,7,84,29,4,1,29,0,1,4,0,18,0,0,6,0,4,3,9,3,0,3,0,1,3,0,0,0,0,0,100%|Rickenella_sp|UDB06659943|SH1275469.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Rickenellaceae;g__Rickenella;s__Rickenella_sp
